epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,
1,25.1471,3.41235,4.42512,3.01817,0,0,0,0,3.30371,3.83887,2.7757,4.00E-05,4.00E-05,4.00E-05,
2,44.9149,3.55293,4.2432,2.91423,0.00074,0.04878,4.00E-05,1.00E-05,3.30608,3.83453,2.75394,9.96E-05,9.96E-05,9.96E-05,
3,70.5681,3.25389,4.02808,2.79399,0.00111,0.07317,9.00E-05,2.00E-05,3.29966,3.82853,2.73696,0.000158733,0.000158733,0.000158733,
4,88.4246,3.18963,3.86604,2.75228,0.00259,0.17073,0.00046,8.00E-05,3.2822,3.82598,2.72454,0.000217386,0.000217386,0.000217386,
5,108.829,3.29577,4.02206,2.68102,0.00093,0.06098,6.00E-05,2.00E-05,3.25915,3.8261,2.70813,0.000275565,0.000275565,0.000275565,
6,128.093,3.24142,3.95386,2.60252,0.00037,0.02439,2.00E-05,0,3.23507,3.81284,2.66745,0.000333268,0.000333268,0.000333268,
7,148.877,3.22616,3.82624,2.57848,0.00037,0.02439,2.00E-05,0,3.21183,3.81301,2.63345,0.000390496,0.000390496,0.000390496,
8,167.655,3.16213,4.19377,2.65856,0.00037,0.02439,2.00E-05,1.00E-05,3.209,3.81246,2.59976,0.000447249,0.000447249,0.000447249,
9,186.254,3.08111,3.84207,2.61211,0.00037,0.02439,4.00E-05,1.00E-05,3.21915,3.81149,2.56313,0.000503526,0.000503526,0.000503526,
10,205.035,3.08737,3.83693,2.65917,0.00037,0.02439,4.00E-05,1.00E-05,3.23211,3.81505,2.55633,0.000559329,0.000559329,0.000559329,
11,223.687,3.29259,3.95148,2.60425,0.00019,0.0122,1.00E-05,0,3.22915,3.82413,2.55907,0.000614656,0.000614656,0.000614656,
12,242.189,3.0728,3.66487,2.54813,0.00019,0.0122,1.00E-05,0,3.22384,3.82579,2.5697,0.000669508,0.000669508,0.000669508,
13,260.872,3.32513,3.59525,2.56578,0.00037,0.02439,3.00E-05,1.00E-05,3.26078,3.8049,2.62017,0.000723885,0.000723885,0.000723885,
14,279.49,3.26325,3.9586,2.71739,0.00037,0.02439,2.00E-05,1.00E-05,3.27717,3.79333,2.6369,0.000777786,0.000777786,0.000777786,
15,298.655,3.11997,3.69258,2.57649,0.00037,0.02439,3.00E-05,1.00E-05,3.2991,3.78209,2.6678,0.000831213,0.000831213,0.000831213,
16,317.453,3.04682,3.67475,2.50121,0.00037,0.02439,5.00E-05,1.00E-05,3.29543,3.78433,2.68228,0.000884164,0.000884164,0.000884164,
17,335.955,3.11576,3.71925,2.48723,0.00037,0.02439,3.00E-05,1.00E-05,3.26795,3.77411,2.68292,0.00093664,0.00093664,0.00093664,
18,354.524,2.96945,3.55642,2.44076,0.00037,0.02439,2.00E-05,1.00E-05,3.26867,3.76388,2.65968,0.000988641,0.000988641,0.000988641,
19,373.58,3.03778,3.67634,2.50891,0.00037,0.02439,2.00E-05,0,3.27144,3.75479,2.63739,0.00104017,0.00104017,0.00104017,
20,395.497,3.07054,3.66327,2.42154,0.00037,0.02439,1.00E-05,0,3.26904,3.74577,2.60856,0.00109122,0.00109122,0.00109122,
21,427.263,3.12316,3.67588,2.48095,0,0,0,0,3.25781,3.71935,2.56576,0.00114179,0.00114179,0.00114179,
22,463.51,2.96745,3.54789,2.47547,0.00019,0.0122,0,0,3.24311,3.69878,2.53753,0.00119189,0.00119189,0.00119189,
23,501.457,2.91446,3.54813,2.313,0.00019,0.0122,0,0,3.23996,3.68082,2.52058,0.00124152,0.00124152,0.00124152,
24,523.628,2.95001,3.71251,2.37539,0.00074,0.04878,3.00E-05,0,3.23504,3.68212,2.51873,0.00129067,0.00129067,0.00129067,
25,544.6,2.91025,3.52608,2.42369,0.00222,0.14634,0.00044,7.00E-05,3.23458,3.6997,2.50864,0.00133934,0.00133934,0.00133934,
26,566.455,2.95817,3.40454,2.36291,0.00278,0.18293,0.00083,0.00015,3.24711,3.70757,2.50358,0.00138754,0.00138754,0.00138754,
27,588.278,3.17065,3.50821,2.47859,0.00333,0.21951,0.00192,0.00035,3.2267,3.70933,2.48912,0.00143526,0.00143526,0.00143526,
28,609.64,2.90844,3.58187,2.39976,0.0037,0.2439,0.0021,0.00039,3.21655,3.6996,2.50426,0.00148251,0.00148251,0.00148251,
29,631.155,3.12646,3.86148,2.48123,0.0037,0.2439,0.0021,0.00039,3.21655,3.6996,2.50426,0.00152929,0.00152929,0.00152929,
30,652.844,2.88906,3.36632,2.43516,0.00259,0.17073,0.00078,0.00014,3.17304,3.75761,2.54451,0.00157558,0.00157558,0.00157558,
31,674.568,2.88513,3.41579,2.38323,0.00241,0.15854,0.00046,7.00E-05,3.20279,3.8571,2.62565,0.00162141,0.00162141,0.00162141,
32,696.181,2.73074,3.54103,2.25179,0.00259,0.17073,0.0007,0.0001,3.34127,3.88864,2.70076,0.00166676,0.00166676,0.00166676,
33,718.449,2.87181,3.36508,2.32451,0.00259,0.17073,0.0007,0.0001,3.34127,3.88864,2.70076,0.00171163,0.00171163,0.00171163,
34,741.396,2.95923,3.36605,2.33341,0.00241,0.15854,0.00079,0.00012,3.40687,3.99019,2.73457,0.00173864,0.00173864,0.00173864,
35,764.761,2.85465,3.58741,2.43024,0.00222,0.14634,0.00078,0.00013,3.43413,4.09883,2.78089,0.00173072,0.00173072,0.00173072,
36,788.167,2.87093,3.2266,2.36831,0.00204,0.13415,0.00039,7.00E-05,3.44436,4.16641,2.80567,0.0017228,0.0017228,0.0017228,
37,812.184,2.81722,3.42471,2.33299,0.00204,0.13415,0.00039,7.00E-05,3.44436,4.16641,2.80567,0.00171488,0.00171488,0.00171488,
38,835.461,2.87534,3.11167,2.36911,0.00185,0.12195,0.00056,0.00012,3.39717,4.11274,2.7602,0.00170696,0.00170696,0.00170696,
39,860.595,2.89239,3.35198,2.35117,0.00204,0.13415,0.00096,0.00023,3.35189,4.07669,2.74962,0.00169904,0.00169904,0.00169904,
40,885.062,2.81116,3.22512,2.30769,0.00259,0.17073,0.00136,0.00027,3.34302,4.07289,2.72559,0.00169112,0.00169112,0.00169112,
41,907.97,2.67761,3.18235,2.21888,0.00259,0.17073,0.00136,0.00027,3.34302,4.07289,2.72559,0.0016832,0.0016832,0.0016832,
42,932.382,2.88657,3.53006,2.30827,0.00259,0.17073,0.00125,0.00027,3.3533,4.10001,2.70356,0.00167528,0.00167528,0.00167528,
43,954.114,2.78829,3.20964,2.2667,0.00278,0.18293,0.0025,0.00049,3.32677,4.02857,2.66753,0.00166736,0.00166736,0.00166736,
44,975.49,2.88687,3.46578,2.34187,0.00259,0.17073,0.00297,0.00071,3.21916,3.93098,2.66871,0.00165944,0.00165944,0.00165944,
45,995.582,2.68484,3.17974,2.24022,0.00259,0.17073,0.00297,0.00071,3.21916,3.93098,2.66871,0.00165152,0.00165152,0.00165152,
46,1017.93,2.79305,3.27824,2.29704,0.00389,0.2561,0.00789,0.00184,3.06422,3.74467,2.60368,0.0016436,0.0016436,0.0016436,
47,1039.88,2.89056,3.36908,2.31231,0.02155,0.17073,0.01935,0.00566,2.95188,3.62489,2.56321,0.00163568,0.00163568,0.00163568,
48,1061.74,2.77103,3.35185,2.28001,0.04717,0.14634,0.02571,0.00633,2.89125,3.40939,2.47639,0.00162776,0.00162776,0.00162776,
49,1083.64,2.8511,3.30462,2.32939,0.04717,0.14634,0.02571,0.00633,2.89125,3.40939,2.47639,0.00161984,0.00161984,0.00161984,
50,1105.87,2.64541,3.34081,2.22445,0.09167,0.08537,0.03447,0.00822,2.89904,3.26245,2.43445,0.00161192,0.00161192,0.00161192,
51,1128.78,2.89104,3.03983,2.34351,0.05205,0.12195,0.03223,0.0076,2.96761,3.29061,2.47246,0.001604,0.001604,0.001604,
52,1150.98,2.99601,3.4244,2.46558,0.03534,0.12195,0.03251,0.00696,3.04666,3.37589,2.53152,0.00159608,0.00159608,0.00159608,
53,1172.76,2.71874,3.13116,2.25717,0.03534,0.12195,0.03251,0.00696,3.04666,3.37589,2.53152,0.00158816,0.00158816,0.00158816,
54,1194.74,2.68159,2.9403,2.19704,0.01908,0.29268,0.01302,0.00251,3.10426,3.53432,2.58076,0.00158024,0.00158024,0.00158024,
55,1216.96,2.80597,3.07302,2.28795,0.00704,0.46341,0.0073,0.00171,3.09533,3.6986,2.57038,0.00157232,0.00157232,0.00157232,
56,1238.62,2.80785,3.24606,2.20664,0.00741,0.4878,0.01396,0.00305,3.02144,3.69578,2.51494,0.0015644,0.0015644,0.0015644,
57,1260.79,2.63038,3.09717,2.12473,0.00741,0.4878,0.01396,0.00305,3.02144,3.69578,2.51494,0.00155648,0.00155648,0.00155648,
58,1283.46,2.71784,3.01364,2.16038,0.00778,0.5122,0.01606,0.00453,2.94627,3.64235,2.45707,0.00154856,0.00154856,0.00154856,
59,1306.02,2.79942,2.98747,2.2637,0.00759,0.5,0.00951,0.00276,2.90059,3.61537,2.394,0.00154064,0.00154064,0.00154064,
60,1328.27,2.83618,3.15669,2.29095,0.02572,0.12525,0.01286,0.00341,2.92165,3.46655,2.379,0.00153272,0.00153272,0.00153272,
61,1350.63,2.90478,3.22662,2.32507,0.02572,0.12525,0.01286,0.00341,2.92165,3.46655,2.379,0.0015248,0.0015248,0.0015248,
62,1373.23,2.72155,3.1339,2.16461,0.21309,0.10976,0.08995,0.02573,2.87317,3.20752,2.33846,0.00151688,0.00151688,0.00151688,
63,1395.44,2.93426,2.9917,2.27205,0.14836,0.12751,0.06954,0.02115,2.82562,3.19066,2.32436,0.00150896,0.00150896,0.00150896,
64,1417.57,2.67746,3.07232,2.21214,0.12088,0.13415,0.045,0.01151,2.81886,3.23389,2.32738,0.00150104,0.00150104,0.00150104,
65,1439.76,2.60917,2.89384,2.13676,0.12088,0.13415,0.045,0.01151,2.81886,3.23389,2.32738,0.00149312,0.00149312,0.00149312,
66,1461.75,2.6751,3.03673,2.10929,0.10276,0.12195,0.04116,0.00895,2.76918,3.2964,2.28298,0.0014852,0.0014852,0.0014852,
67,1483.73,2.58444,3.02559,2.07445,0.07896,0.13415,0.03444,0.00742,2.76853,3.38896,2.2672,0.00147728,0.00147728,0.00147728,
68,1506.02,2.66011,3.00884,2.13198,0.05717,0.09756,0.02501,0.00652,2.68443,3.43044,2.23994,0.00146936,0.00146936,0.00146936,
69,1528.8,2.72321,3.00462,2.18762,0.05717,0.09756,0.02501,0.00652,2.68443,3.43044,2.23994,0.00146144,0.00146144,0.00146144,
70,1551.06,2.54705,2.87619,2.11319,0.09789,0.17073,0.05403,0.0168,2.6179,3.14652,2.1781,0.00145352,0.00145352,0.00145352,
71,1572.78,2.65176,3.04031,2.12274,0.20771,0.19512,0.13636,0.03206,2.5805,2.97992,2.11164,0.0014456,0.0014456,0.0014456,
72,1594.89,2.58617,3.03964,2.11322,0.18333,0.19512,0.10114,0.02231,2.62324,3.09277,2.1747,0.00143768,0.00143768,0.00143768,
73,1617.27,2.56287,2.83298,2.07528,0.18333,0.19512,0.10114,0.02231,2.62324,3.09277,2.1747,0.00142976,0.00142976,0.00142976,
74,1640.24,2.71494,2.97753,2.12515,0.16495,0.19274,0.08684,0.02243,2.64208,3.19033,2.23533,0.00142184,0.00142184,0.00142184,
75,1662.57,2.47842,2.83084,2.07823,0.16109,0.14634,0.06834,0.01772,2.65078,3.26998,2.29408,0.00141392,0.00141392,0.00141392,
76,1685.09,2.4477,3.2224,2.03158,0.28382,0.14634,0.08209,0.01991,2.60258,3.27993,2.28709,0.001406,0.001406,0.001406,
77,1707.54,2.539,2.72972,2.00299,0.28382,0.14634,0.08209,0.01991,2.60258,3.27993,2.28709,0.00139808,0.00139808,0.00139808,
78,1730.18,2.56194,2.98534,2.13854,0.22544,0.13849,0.07388,0.01612,2.63034,3.21424,2.26424,0.00139016,0.00139016,0.00139016,
79,1752.98,2.59472,2.75581,2.12197,0.1703,0.14634,0.08366,0.01904,2.60264,3.01023,2.11703,0.00138224,0.00138224,0.00138224,
80,1776.06,2.56134,2.88835,2.13664,0.1692,0.13415,0.10008,0.02427,2.57739,2.89284,2.01211,0.00137432,0.00137432,0.00137432,
81,1798.6,2.51887,2.8005,2.03152,0.1692,0.13415,0.10008,0.02427,2.57739,2.89284,2.01211,0.0013664,0.0013664,0.0013664,
82,1821.08,2.51639,2.61411,2.03402,0.23567,0.20732,0.11896,0.02933,2.54686,2.73518,1.97134,0.00135848,0.00135848,0.00135848,
83,1843.13,2.50529,2.92926,2.0635,0.1563,0.20732,0.11879,0.03071,2.5477,2.71716,1.99919,0.00135056,0.00135056,0.00135056,
84,1864.89,2.64049,3.21174,2.07845,0.11769,0.15854,0.06287,0.02006,2.57869,2.81007,2.07138,0.00134264,0.00134264,0.00134264,
85,1886.24,2.50644,2.82423,2.05746,0.11769,0.15854,0.06287,0.02006,2.57869,2.81007,2.07138,0.00133472,0.00133472,0.00133472,
86,1908.67,2.67363,2.74003,2.1318,0.08205,0.25181,0.05624,0.01776,2.60489,2.91963,2.12254,0.0013268,0.0013268,0.0013268,
87,1930.86,2.51564,2.73136,1.99606,0.07668,0.21951,0.05248,0.01651,2.61749,2.98758,2.12785,0.00131888,0.00131888,0.00131888,
88,1953.54,2.4752,2.75807,2.01531,0.11868,0.21841,0.05648,0.01721,2.62143,2.95487,2.11019,0.00131096,0.00131096,0.00131096,
89,1976.01,2.53834,2.74112,1.9684,0.11868,0.21841,0.05648,0.01721,2.62143,2.95487,2.11019,0.00130304,0.00130304,0.00130304,
90,1998.81,2.49049,2.67865,1.99455,0.17878,0.2439,0.11682,0.03209,2.59081,2.73676,2.03466,0.00129512,0.00129512,0.00129512,
91,2020.86,2.58696,2.63891,2.00776,0.2631,0.34146,0.17968,0.05793,2.54307,2.53226,1.95935,0.0012872,0.0012872,0.0012872,
92,2043.99,2.63993,2.7044,2.02705,0.36672,0.34607,0.23959,0.07477,2.45967,2.41393,1.8809,0.00127928,0.00127928,0.00127928,
93,2066.68,2.52359,2.79206,2.08294,0.36672,0.34607,0.23959,0.07477,2.45967,2.41393,1.8809,0.00127136,0.00127136,0.00127136,
94,2089.38,2.40972,2.61709,1.98499,0.34623,0.37461,0.26335,0.08275,2.38725,2.44482,1.87238,0.00126344,0.00126344,0.00126344,
95,2111.28,2.44262,2.52461,1.96888,0.33142,0.39024,0.24621,0.07194,2.4637,2.57954,1.94793,0.00125552,0.00125552,0.00125552,
96,2134.1,2.53422,2.86721,2.08183,0.34114,0.36585,0.22106,0.05356,2.56948,2.61616,2.05106,0.0012476,0.0012476,0.0012476,
97,2156.71,2.34528,2.68024,1.97092,0.34114,0.36585,0.22106,0.05356,2.56948,2.61616,2.05106,0.00123968,0.00123968,0.00123968,
98,2178.98,2.52671,2.73341,2.04131,0.23229,0.21951,0.16368,0.0355,2.69339,2.67079,2.18802,0.00123176,0.00123176,0.00123176,
99,2202.64,2.4997,2.48148,2.0181,0.21163,0.31707,0.19316,0.04225,2.60692,2.61277,2.12467,0.00122384,0.00122384,0.00122384,
100,2225.36,2.43592,2.54469,1.98798,0.3127,0.25524,0.23193,0.05842,2.51058,2.54747,2.04825,0.00121592,0.00121592,0.00121592,
101,2248.02,2.50091,2.58474,1.96014,0.3127,0.25524,0.23193,0.05842,2.51058,2.54747,2.04825,0.001208,0.001208,0.001208,
102,2269.92,2.34044,2.62177,1.88871,0.34853,0.32927,0.27862,0.08767,2.40609,2.4148,1.96786,0.00120008,0.00120008,0.00120008,
103,2292.35,2.30557,2.86306,1.82523,0.35222,0.33156,0.29718,0.10241,2.40379,2.34771,1.96303,0.00119216,0.00119216,0.00119216,
104,2315.57,2.48447,2.73309,2.00539,0.42495,0.29268,0.31213,0.0996,2.43795,2.30927,1.97211,0.00118424,0.00118424,0.00118424,
105,2338.34,2.38037,2.58069,1.90543,0.42495,0.29268,0.31213,0.0996,2.43795,2.30927,1.97211,0.00117632,0.00117632,0.00117632,
106,2360.45,2.39054,2.51308,1.94273,0.39378,0.35366,0.32332,0.08995,2.47628,2.27118,1.98461,0.0011684,0.0011684,0.0011684,
107,2382.85,2.32629,2.40974,1.90849,0.4724,0.37805,0.33631,0.09203,2.43938,2.28829,1.94678,0.00116048,0.00116048,0.00116048,
108,2405.96,2.42954,2.698,1.94739,0.37809,0.40244,0.3177,0.08968,2.42131,2.3335,1.89736,0.00115256,0.00115256,0.00115256,
109,2428.34,2.37711,2.44965,1.89405,0.37809,0.40244,0.3177,0.08968,2.42131,2.3335,1.89736,0.00114464,0.00114464,0.00114464,
110,2449.51,2.33881,2.66385,1.86903,0.42381,0.35366,0.31589,0.08598,2.3756,2.40474,1.86033,0.00113672,0.00113672,0.00113672,
111,2470.61,2.46519,2.58432,1.96005,0.42381,0.37805,0.33646,0.08961,2.38405,2.4344,1.86048,0.0011288,0.0011288,0.0011288,
112,2498.5,2.37739,2.49041,1.8787,0.39216,0.41463,0.3241,0.08814,2.34562,2.42644,1.84851,0.00112088,0.00112088,0.00112088,
113,2526.32,2.4197,2.43258,1.92848,0.39216,0.41463,0.3241,0.08814,2.34562,2.42644,1.84851,0.00111296,0.00111296,0.00111296,
114,2545.96,2.38487,2.31757,1.85179,0.44275,0.30488,0.34856,0.0926,2.32396,2.39754,1.84275,0.00110504,0.00110504,0.00110504,
115,2566.97,2.44367,2.38618,1.96124,0.60497,0.32927,0.37272,0.0955,2.34842,2.37463,1.85302,0.00109712,0.00109712,0.00109712,
116,2587.83,2.54329,2.55278,1.97064,0.5452,0.3363,0.34079,0.09275,2.41373,2.31402,1.87965,0.0010892,0.0010892,0.0010892,
117,2608.34,2.50823,2.54338,2.01804,0.5452,0.3363,0.34079,0.09275,2.41373,2.31402,1.87965,0.00108128,0.00108128,0.00108128,
118,2633.78,2.42465,2.60012,2.07119,0.57604,0.33143,0.34621,0.10047,2.42816,2.28175,1.88197,0.00107336,0.00107336,0.00107336,
119,2661.84,2.46905,2.4687,1.9426,0.48244,0.37805,0.35472,0.09932,2.39658,2.25661,1.8644,0.00106544,0.00106544,0.00106544,
120,2687.08,2.40375,2.50632,1.95993,0.53445,0.42005,0.45227,0.12274,2.3076,2.18024,1.80076,0.00105752,0.00105752,0.00105752,
121,2709.34,2.45439,2.49244,1.88925,0.53445,0.42005,0.45227,0.12274,2.3076,2.18024,1.80076,0.0010496,0.0010496,0.0010496,
122,2729.32,2.22209,2.48128,1.74869,0.4976,0.42683,0.45238,0.14622,2.23781,2.15509,1.76707,0.00104168,0.00104168,0.00104168,
123,2748.56,2.22568,2.2923,1.78435,0.59543,0.40244,0.48577,0.15077,2.26822,2.18359,1.77498,0.00103376,0.00103376,0.00103376,
124,2768.24,2.34704,2.38913,1.87247,0.64112,0.37805,0.46496,0.12729,2.3121,2.2232,1.80541,0.00102584,0.00102584,0.00102584,
