epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,
125,2787.5,2.32511,2.30343,1.83814,0.64112,0.37805,0.46496,0.12729,2.3121,2.2232,1.80541,0.00101792,0.00101792,0.00101792,
126,2806.57,2.25804,2.36776,1.82708,0.59554,0.35366,0.4017,0.11007,2.33748,2.25717,1.82654,0.00101,0.00101,0.00101,
127,2826.3,2.23,2.54243,1.76487,0.48818,0.37805,0.3493,0.09652,2.36852,2.31057,1.8426,0.00100208,0.00100208,0.00100208,
128,2847.48,2.3629,2.60187,1.89763,0.50651,0.26829,0.29227,0.08355,2.3528,2.36977,1.85183,0.00099416,0.00099416,0.00099416,
129,2867.47,2.3289,2.35712,1.86673,0.50651,0.26829,0.29227,0.08355,2.3528,2.36977,1.85183,0.00098624,0.00098624,0.00098624,
130,2887.92,2.44852,2.41521,1.88622,0.3629,0.23171,0.22107,0.05855,2.34602,2.45963,1.8755,0.00097832,0.00097832,0.00097832,
131,2907.38,2.4278,2.33791,1.86509,0.21999,0.37805,0.19764,0.0602,2.29366,2.47563,1.85327,0.0009704,0.0009704,0.0009704,
132,2929.79,2.39426,2.51071,1.94659,0.4115,0.28049,0.26886,0.07551,2.30114,2.4086,1.82474,0.00096248,0.00096248,0.00096248,
133,2957.42,2.31119,2.42922,1.80528,0.4115,0.28049,0.26886,0.07551,2.30114,2.4086,1.82474,0.00095456,0.00095456,0.00095456,
134,2985.45,2.20262,2.3301,1.76229,0.46305,0.35366,0.33333,0.10284,2.23527,2.30327,1.76156,0.00094664,0.00094664,0.00094664,
135,3013.38,2.19141,2.11776,1.71692,0.56223,0.42683,0.41575,0.13176,2.19326,2.17754,1.723,0.00093872,0.00093872,0.00093872,
136,3041.26,2.4492,2.38033,1.90879,0.63282,0.44141,0.474,0.15719,2.17446,2.05284,1.69567,0.0009308,0.0009308,0.0009308,
137,3062.6,2.46133,2.43369,1.92569,0.63282,0.44141,0.474,0.15719,2.17446,2.05284,1.69567,0.00092288,0.00092288,0.00092288,
138,3081.44,2.4562,2.36851,1.89825,0.70752,0.47561,0.52578,0.16787,2.16433,2.00187,1.66984,0.00091496,0.00091496,0.00091496,
139,3100.79,2.47722,2.45415,1.94733,0.65971,0.47288,0.4693,0.15642,2.20151,1.99525,1.66614,0.00090704,0.00090704,0.00090704,
140,3125.41,2.26764,2.24526,1.82988,0.64675,0.46341,0.46595,0.15488,2.18155,2.00633,1.65764,0.00089912,0.00089912,0.00089912,
141,3154.66,2.28671,2.16066,1.76333,0.64675,0.46341,0.46595,0.15488,2.18155,2.00633,1.65764,0.0008912,0.0008912,0.0008912,
142,3183.07,2.31568,2.26444,1.79326,0.55516,0.43902,0.43386,0.13016,2.20504,2.07793,1.6677,0.00088328,0.00088328,0.00088328,
143,3204.95,2.29992,2.58665,1.82476,0.54027,0.41463,0.40218,0.11776,2.24218,2.17925,1.69612,0.00087536,0.00087536,0.00087536,
144,3224.2,2.27537,2.32113,1.81161,0.47647,0.37737,0.34655,0.09927,2.35914,2.31576,1.76228,0.00086744,0.00086744,0.00086744,
145,3243.19,2.31419,2.29841,1.80747,0.47647,0.37737,0.34655,0.09927,2.35914,2.31576,1.76228,0.00085952,0.00085952,0.00085952,
146,3265.99,2.30418,2.32453,1.80659,0.45709,0.37992,0.36087,0.09894,2.4168,2.3452,1.79584,0.0008516,0.0008516,0.0008516,
147,3293.86,2.25455,2.25876,1.78275,0.45875,0.39281,0.38855,0.11351,2.36432,2.24394,1.76916,0.00084368,0.00084368,0.00084368,
148,3314.54,2.2532,2.52229,1.8079,0.51736,0.37911,0.41184,0.13108,2.29238,2.17683,1.75274,0.00083576,0.00083576,0.00083576,
149,3333.76,2.25929,2.14569,1.77665,0.51736,0.37911,0.41184,0.13108,2.29238,2.17683,1.75274,0.00082784,0.00082784,0.00082784,
150,3353.33,2.14719,2.26174,1.76425,0.61399,0.37805,0.45709,0.13658,2.25598,2.13761,1.73605,0.00081992,0.00081992,0.00081992,
151,3373.44,2.18939,2.28762,1.78999,0.62538,0.41463,0.49477,0.14749,2.18842,2.11937,1.71186,0.000812,0.000812,0.000812,
152,3392.85,2.30803,2.19838,1.79085,0.53083,0.48296,0.5133,0.1604,2.17146,2.10843,1.69801,0.00080408,0.00080408,0.00080408,
153,3411.85,2.11216,2.1382,1.76884,0.53083,0.48296,0.5133,0.1604,2.17146,2.10843,1.69801,0.00079616,0.00079616,0.00079616,
154,3430.98,2.25448,2.16546,1.78391,0.51612,0.5122,0.49884,0.16755,2.19117,2.08584,1.68706,0.00078824,0.00078824,0.00078824,
155,3456.95,2.24996,2.40905,1.85168,0.50153,0.47561,0.49142,0.16662,2.2297,2.07931,1.69142,0.00078032,0.00078032,0.00078032,
156,3484.89,2.21743,2.15684,1.7797,0.50722,0.47702,0.4851,0.16641,2.24597,2.05292,1.68386,0.0007724,0.0007724,0.0007724,
157,3507.71,2.13905,1.99267,1.6985,0.50722,0.47702,0.4851,0.16641,2.24597,2.05292,1.68386,0.00076448,0.00076448,0.00076448,
158,3526.77,2.3383,2.48698,1.90736,0.60195,0.43902,0.50915,0.1814,2.23559,2.01532,1.66527,0.00075656,0.00075656,0.00075656,
159,3546.54,2.27014,2.19439,1.74676,0.66866,0.49226,0.54013,0.18705,2.20395,2.00854,1.64971,0.00074864,0.00074864,0.00074864,
160,3568.75,2.20824,2.11106,1.72913,0.64614,0.52439,0.53913,0.18431,2.20637,2.01608,1.65915,0.00074072,0.00074072,0.00074072,
161,3596.17,2.13498,2.04087,1.67308,0.64614,0.52439,0.53913,0.18431,2.20637,2.01608,1.65915,0.0007328,0.0007328,0.0007328,
162,3623.43,2.13311,2.02029,1.66718,0.64669,0.5122,0.53289,0.15753,2.24966,2.07047,1.69303,0.00072488,0.00072488,0.00072488,
163,3650.99,2.46026,2.30569,1.82444,0.60484,0.4878,0.48281,0.14399,2.23359,2.06999,1.69603,0.00071696,0.00071696,0.00071696,
164,3679.03,2.29317,2.1236,1.75023,0.57561,0.47561,0.45937,0.1425,2.23523,2.07475,1.70412,0.00070904,0.00070904,0.00070904,
165,3706.73,2.23386,2.09148,1.77002,0.57561,0.47561,0.45937,0.1425,2.23523,2.07475,1.70412,0.00070112,0.00070112,0.00070112,
166,3734.24,2.19146,2.02557,1.72233,0.55165,0.42683,0.42488,0.13317,2.26036,2.12337,1.72443,0.0006932,0.0006932,0.0006932,
167,3762.19,2.25445,2.04555,1.74661,0.55084,0.45122,0.44784,0.13814,2.28849,2.12698,1.74037,0.00068528,0.00068528,0.00068528,
168,3790.45,2.10679,2.09285,1.67189,0.58165,0.46341,0.47288,0.14643,2.31172,2.09965,1.74538,0.00067736,0.00067736,0.00067736,
169,3817.57,2.13605,2.08414,1.69287,0.58165,0.46341,0.47288,0.14643,2.31172,2.09965,1.74538,0.00066944,0.00066944,0.00066944,
170,3845.3,2.44231,2.21342,1.83201,0.65871,0.49434,0.53928,0.16459,2.27454,2.03112,1.72,0.00066152,0.00066152,0.00066152,
171,3872.86,2.19863,2.28104,1.83373,0.70175,0.5,0.54298,0.18409,2.20845,1.96562,1.68257,0.0006536,0.0006536,0.0006536,
172,3900.71,2.19737,2.12086,1.71991,0.72195,0.5122,0.56591,0.19756,2.16761,1.93349,1.65273,0.00064568,0.00064568,0.00064568,
173,3928.1,2.08386,2.04561,1.66631,0.72195,0.5122,0.56591,0.19756,2.16761,1.93349,1.65273,0.00063776,0.00063776,0.00063776,
174,3955.73,2.12604,2.07921,1.69986,0.72009,0.4878,0.56191,0.2103,2.1504,1.94618,1.64505,0.00062984,0.00062984,0.00062984,
175,3983.25,2.20394,2.17155,1.73128,0.68743,0.5,0.553,0.20921,2.14671,1.96563,1.63529,0.00062192,0.00062192,0.00062192,
176,4010.73,2.09909,2.0866,1.68992,0.5931,0.5,0.51537,0.19611,2.17629,2.02719,1.64947,0.000614,0.000614,0.000614,
177,4038.31,2.12856,2.05636,1.65598,0.5931,0.5,0.51537,0.19611,2.17629,2.02719,1.64947,0.00060608,0.00060608,0.00060608,
178,4065.85,2.27653,2.25833,1.793,0.57239,0.4878,0.48914,0.15381,2.25041,2.14395,1.70721,0.00059816,0.00059816,0.00059816,
179,4093.66,2.25392,2.22906,1.73294,0.52627,0.47561,0.47567,0.12407,2.36006,2.24895,1.77388,0.00059024,0.00059024,0.00059024,
180,4122.45,2.22072,2.12111,1.73134,0.48136,0.43902,0.39678,0.10493,2.43888,2.31402,1.82977,0.00058232,0.00058232,0.00058232,
181,4149.84,2.12442,1.95475,1.67071,0.48136,0.43902,0.39678,0.10493,2.43888,2.31402,1.82977,0.0005744,0.0005744,0.0005744,
182,4178.28,2.50741,2.42733,1.94027,0.43488,0.40244,0.35504,0.09377,2.48836,2.35527,1.8597,0.00056648,0.00056648,0.00056648,
183,4206.13,2.05638,2.07723,1.6852,0.54272,0.44872,0.39896,0.10325,2.4704,2.28732,1.84636,0.00055856,0.00055856,0.00055856,
184,4233.8,2.20403,2.20009,1.7604,0.60725,0.5122,0.48171,0.13634,2.35929,2.08879,1.75846,0.00055064,0.00055064,0.00055064,
185,4261.55,2.03538,2.05253,1.67369,0.60725,0.5122,0.48171,0.13634,2.35929,2.08879,1.75846,0.00054272,0.00054272,0.00054272,
186,4289.07,2.0494,1.96949,1.66859,0.73683,0.56098,0.56391,0.17855,2.23186,1.94026,1.69146,0.0005348,0.0005348,0.0005348,
187,4316.47,2.23291,2.05174,1.75455,0.69037,0.56098,0.59941,0.22416,2.0792,1.84969,1.62921,0.00052688,0.00052688,0.00052688,
188,4344.09,2.11068,2.0965,1.7392,0.73128,0.45122,0.56904,0.24326,1.97149,1.87113,1.58214,0.00051896,0.00051896,0.00051896,
189,4371.48,2.32323,2.14561,1.81141,0.73128,0.45122,0.56904,0.24326,1.97149,1.87113,1.58214,0.00051104,0.00051104,0.00051104,
190,4398.76,2.31277,2.1395,1.78649,0.66064,0.45108,0.54344,0.2427,1.94452,1.8934,1.57648,0.00050312,0.00050312,0.00050312,
191,4426.2,2.01289,2.13115,1.68938,0.71787,0.45122,0.55901,0.24956,1.93384,1.8891,1.56954,0.0004952,0.0004952,0.0004952,
192,4453.28,2.07438,2.12487,1.68853,0.55937,0.54189,0.57339,0.25063,1.96246,1.83279,1.57962,0.00048728,0.00048728,0.00048728,
193,4480.65,1.98219,2.05744,1.60992,0.55937,0.54189,0.57339,0.25063,1.96246,1.83279,1.57962,0.00047936,0.00047936,0.00047936,
194,4508.43,2.15193,1.95325,1.67747,0.68047,0.52439,0.59399,0.24583,2.01354,1.81397,1.60322,0.00047144,0.00047144,0.00047144,
195,4536.03,2.12118,1.93714,1.68246,0.67596,0.56098,0.5774,0.22619,2.09772,1.82683,1.64215,0.00046352,0.00046352,0.00046352,
196,4563.47,2.14578,2.13886,1.68153,0.66337,0.5,0.54186,0.20136,2.17311,1.86205,1.68289,0.0004556,0.0004556,0.0004556,
197,4590.86,2.33921,2.14127,1.75744,0.66337,0.5,0.54186,0.20136,2.17311,1.86205,1.68289,0.00044768,0.00044768,0.00044768,
198,4618.09,2.47029,2.33775,1.81033,0.71774,0.54878,0.54694,0.19195,2.2007,1.87886,1.69449,0.00043976,0.00043976,0.00043976,
199,4645.7,2.2369,2.15032,1.76141,0.72289,0.53659,0.52854,0.18727,2.18439,1.88031,1.68876,0.00043184,0.00043184,0.00043184,
200,4673.65,2.02423,2.19226,1.69201,0.76067,0.57317,0.59565,0.19949,2.13181,1.83809,1.64765,0.00042392,0.00042392,0.00042392,
201,4701.1,2.19552,2.15096,1.78635,0.76067,0.57317,0.59565,0.19949,2.13181,1.83809,1.64765,0.000416,0.000416,0.000416,
202,4728.46,2.04215,2.0497,1.67502,0.74907,0.6189,0.62132,0.21919,2.07023,1.81207,1.6192,0.00040808,0.00040808,0.00040808,
203,4755.97,2.0107,2.01803,1.66179,0.75702,0.62195,0.62816,0.2244,2.04636,1.79847,1.60387,0.00040016,0.00040016,0.00040016,
204,4783.85,2.10593,2.02977,1.68189,0.75507,0.63415,0.64934,0.23479,2.04085,1.79338,1.59637,0.00039224,0.00039224,0.00039224,
205,4811.39,2.20394,2.11775,1.71554,0.75507,0.63415,0.64934,0.23479,2.04085,1.79338,1.59637,0.00038432,0.00038432,0.00038432,
206,4839.2,2.05949,1.89045,1.68364,0.75041,0.60976,0.62089,0.2269,2.07003,1.8079,1.60363,0.0003764,0.0003764,0.0003764,
207,4866.64,2.28,2.17423,1.80902,0.75534,0.60976,0.61839,0.22378,2.09111,1.83298,1.60971,0.00036848,0.00036848,0.00036848,
208,4893.99,2.03496,1.88538,1.62562,0.74481,0.59756,0.60798,0.22441,2.09437,1.84679,1.61224,0.00036056,0.00036056,0.00036056,
209,4921.34,2.34471,2.515,1.90484,0.74481,0.59756,0.60798,0.22441,2.09437,1.84679,1.61224,0.00035264,0.00035264,0.00035264,
210,4948.97,2.07793,2.02265,1.68111,0.74204,0.5613,0.61051,0.21516,2.12493,1.85926,1.63352,0.00034472,0.00034472,0.00034472,
211,4976.62,2.0753,1.95755,1.63639,0.71145,0.58537,0.58896,0.20962,2.15384,1.86329,1.65298,0.0003368,0.0003368,0.0003368,
212,5004.73,1.96765,1.95031,1.65931,0.7245,0.56098,0.58096,0.20299,2.1624,1.84341,1.65754,0.00032888,0.00032888,0.00032888,
213,5032.18,2.26981,2.16094,1.75112,0.7245,0.56098,0.58096,0.20299,2.1624,1.84341,1.65754,0.00032096,0.00032096,0.00032096,
214,5059.69,2.20077,2.02045,1.77368,0.69548,0.53659,0.57339,0.20715,2.14446,1.8311,1.64994,0.00031304,0.00031304,0.00031304,
215,5087.53,2.175,2.0327,1.67413,0.73876,0.55181,0.59932,0.22437,2.09805,1.8032,1.62906,0.00030512,0.00030512,0.00030512,
216,5115.13,1.95234,1.83208,1.58374,0.75545,0.54878,0.60068,0.22875,2.08969,1.79148,1.61735,0.0002972,0.0002972,0.0002972,
217,5142.9,2.00904,2.08095,1.66438,0.75545,0.54878,0.60068,0.22875,2.08969,1.79148,1.61735,0.00028928,0.00028928,0.00028928,
218,5171.27,2.03208,1.97641,1.61268,0.77558,0.56098,0.60454,0.23855,2.07767,1.75641,1.60224,0.00028136,0.00028136,0.00028136,
219,5198.98,2.05944,1.99804,1.66795,0.7664,0.58537,0.61195,0.24027,2.09141,1.72881,1.59888,0.00027344,0.00027344,0.00027344,
220,5226.31,2.03171,2.04582,1.63939,0.80314,0.59705,0.62711,0.24061,2.10062,1.71695,1.59826,0.00026552,0.00026552,0.00026552,
221,5253.78,2.07719,1.93465,1.62434,0.80314,0.59705,0.62711,0.24061,2.10062,1.71695,1.59826,0.0002576,0.0002576,0.0002576,
222,5281.5,2.06766,2.03843,1.70647,0.80618,0.60873,0.63166,0.23669,2.10572,1.70857,1.5911,0.00024968,0.00024968,0.00024968,
223,5308.89,2.09662,1.99463,1.6374,0.76766,0.59756,0.62434,0.2275,2.1442,1.72187,1.60309,0.00024176,0.00024176,0.00024176,
224,5336.62,2.15619,2.11467,1.7194,0.76557,0.58537,0.60463,0.21516,2.19382,1.75365,1.62121,0.00023384,0.00023384,0.00023384,
225,5363.91,2.0754,1.90973,1.65314,0.76557,0.58537,0.60463,0.21516,2.19382,1.75365,1.62121,0.00022592,0.00022592,0.00022592,
226,5391.36,2.04298,1.99641,1.6226,0.75211,0.59756,0.60232,0.20176,2.21032,1.78137,1.62783,0.000218,0.000218,0.000218,
227,5418.74,2.16239,2.03417,1.69924,0.75437,0.58537,0.58707,0.20797,2.22698,1.79517,1.6366,0.00021008,0.00021008,0.00021008,
228,5446.38,2.19775,2.05609,1.73229,0.78998,0.58537,0.59131,0.20447,2.22475,1.80779,1.63895,0.00020216,0.00020216,0.00020216,
229,5473.6,1.99676,1.95957,1.61795,0.78998,0.58537,0.59131,0.20447,2.22475,1.80779,1.63895,0.00019424,0.00019424,0.00019424,
230,5501.05,1.98396,1.98633,1.59103,0.793,0.58537,0.60198,0.21383,2.18297,1.79575,1.62643,0.00018632,0.00018632,0.00018632,
231,5528.9,1.99642,1.94642,1.61918,0.83487,0.61662,0.64112,0.22671,2.12754,1.77793,1.60414,0.0001784,0.0001784,0.0001784,
232,5556.35,2.04405,2.12216,1.6086,0.82336,0.60976,0.62743,0.23419,2.08681,1.75916,1.58744,0.00017048,0.00017048,0.00017048,
233,5584.05,2.10103,2.21785,1.72563,0.82336,0.60976,0.62743,0.23419,2.08681,1.75916,1.58744,0.00016256,0.00016256,0.00016256,
234,5611.85,2.23214,2.05205,1.71292,0.85207,0.63223,0.66134,0.25353,2.05367,1.74065,1.57649,0.00015464,0.00015464,0.00015464,
235,5639.42,2.1441,1.87354,1.63368,0.83684,0.6255,0.66105,0.25502,2.03936,1.73272,1.56925,0.00014672,0.00014672,0.00014672,
236,5667.09,2.03193,1.97296,1.60193,0.82663,0.62195,0.66074,0.25911,2.02812,1.72157,1.55752,0.0001388,0.0001388,0.0001388,
237,5694.64,2.04581,1.89409,1.61053,0.82663,0.62195,0.66074,0.25911,2.02812,1.72157,1.55752,0.00013088,0.00013088,0.00013088,
238,5722.26,2.02922,1.90334,1.62575,0.81478,0.62195,0.66084,0.25969,2.02139,1.72005,1.54958,0.00012296,0.00012296,0.00012296,
239,5749.9,2.08679,1.90488,1.60163,0.81933,0.62195,0.66091,0.26244,2.01499,1.71599,1.54465,0.00011504,0.00011504,0.00011504,
240,5777.43,2.09028,1.94928,1.63969,0.80725,0.62195,0.65769,0.27368,1.99967,1.717,1.53871,0.00010712,0.00010712,0.00010712,
241,5804.47,1.92711,2.11289,1.5388,0.80725,0.62195,0.65769,0.27368,1.99967,1.717,1.53871,9.92E-05,9.92E-05,9.92E-05,
242,5831.58,2.04745,2.04013,1.57293,0.82118,0.60976,0.64252,0.27841,1.98373,1.71122,1.53197,9.13E-05,9.13E-05,9.13E-05,
243,5858.5,2.00554,2.1101,1.60308,0.81694,0.59756,0.64033,0.27412,1.97286,1.71396,1.52745,8.34E-05,8.34E-05,8.34E-05,
244,5885.7,1.83863,1.88093,1.50882,0.80432,0.59756,0.63656,0.26902,1.97183,1.72904,1.52773,7.54E-05,7.54E-05,7.54E-05,
245,5912.79,1.75599,1.79455,1.48921,0.80432,0.59756,0.63656,0.26902,1.97183,1.72904,1.52773,6.75E-05,6.75E-05,6.75E-05,
246,5939.97,1.89435,1.96494,1.54002,0.81295,0.59756,0.62522,0.26678,1.97737,1.73936,1.53116,5.96E-05,5.96E-05,5.96E-05,
247,5967.28,1.78684,1.76488,1.47028,0.7718,0.59756,0.62303,0.26217,1.9887,1.75257,1.53745,5.17E-05,5.17E-05,5.17E-05,
248,5994.5,1.97543,2.0365,1.56074,0.81831,0.59756,0.62074,0.2618,1.99697,1.76506,1.5413,4.38E-05,4.38E-05,4.38E-05,
249,6021.49,2.02796,2.01522,1.64346,0.81831,0.59756,0.62074,0.2618,1.99697,1.76506,1.5413,3.58E-05,3.58E-05,3.58E-05,
250,6048.48,1.91659,1.77,1.53317,0.81021,0.59756,0.61879,0.25817,2.00457,1.77052,1.54322,2.79E-05,2.79E-05,2.79E-05,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,#NAME?
